team,season,Wins,3PM_PACE,DR_PACE,AST_PACE
Warriors,2014,67,8.571,27.317,21.823
Warriors,2015,73,10.595,29.237,23.344
Warriors,2016,67,9.604,28.100,24.364
All,2014,40.10,6.374,26.64,18.003
All,2015,39.89,6.99,27.837,18.459
All,2016,40.10,7.959,27.715,18.596
