team,season,Wins,Losses,ufga,ufgm,ufgp,pts_off_tov,TO_RATIO,pts_paint,FGM,FGA,FG%,2pm,2PM_PACE,2pa,2p%,3PM,3PM_PACE,3PA,3P%,OREB,OR_PACE,DREB,DR_PACE,REB,AST,AST_PACE,UncontestedAssists,UA_PACE,TOV,STL,BLK,STOCKS,STOCKS_PACE,+/-,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,TOV%,EFG%,TS%,PACE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
76ers,2015,10,72,12640,5200,0.41139240506329117,7514,4.584502745576571,18092,2970,6887,43.1,2206,22.009378429611893,4632,0.476252159,764,7.6224683228574275,2255,33.9,777,7.7521700089793475,2605,25.990222488276963,3382,1765,17.609498154245234,2.9461756373937678,0.029394149829330217,1343,680,495,1175,11.723037014865808,-839,106.7,-10.0,59.4,1.31,16.3,16.2,48.7,51.9,100.23,1639,1207,1370,3736
Bucks,2015,33,49,9676,4340,0.4485324514262092,5922,4.075705437026841,15476,3145,6740,46.7,2705,28.01657172449508,5463,0.495149185,440,4.557224236147074,1277,34.5,858,8.886587260486795,2559,26.504401864319007,3417,1895,19.627136198860693,2.2902374670184695,0.023720740207337852,1247,672,475,1147,11.879854997410668,-343,105.7,-3.5,60.3,1.52,17.7,15.7,49.9,53.7,96.55,1453,1153,1068,3606
Bulls,2015,42,40,13356,5840,0.43725666367175803,6488,4.937595129375952,17716,3165,7170,44.1,2514,25.587786259541986,5417,0.46409451700000004,651,6.625954198473282,1753,37.1,907,9.231552162849873,2889,29.404580152671755,3796,1870,19.033078880407125,3.122994652406417,0.03178620511355132,1141,495,470,965,9.821882951653944,-121,103.9,-1.8,59.1,1.64,17.1,14.0,48.7,52.6,98.25,1314,1169,1128,3642
Cavaliers,2015,57,25,15932,7128,0.4474014561888024,6218,4.865414710485133,15892,3171,6888,46.0,2291,23.99455383326351,4460,0.51367713,880,9.216589861751151,2428,36.2,873,9.14327607875995,2777,29.084625052366988,3650,1861,19.490992878089653,3.830198817839871,0.04011519499203887,1114,551,317,868,9.09090909090909,492,102.3,5.8,58.7,1.67,17.5,14.1,52.4,55.8,95.48,1278,919,917,3344
Celtics,2015,48,34,13976,5812,0.41585575271894676,7596,6.272502064409579,19812,3216,7318,43.9,2499,24.705882352941174,5176,0.482805255,717,7.088482451804251,2142,33.5,950,9.391992090954028,2733,27.019278299555115,3683,1981,19.58477508650519,2.933871781928319,0.029005158496572602,1127,752,348,1100,10.874938210578348,263,100.9,3.0,61.6,1.76,17.6,13.5,48.8,53.1,101.15,1211,1164,888,3524
Clippers,2015,53,29,14640,6636,0.4532786885245902,6218,5.220822837951301,15792,3141,6759,46.5,2344,23.925691538225987,4569,0.5130225429999999,797,8.135143411248341,2190,36.4,721,7.359395733387772,2727,27.835051546391753,3448,1873,19.118097376747983,3.5429791777896424,0.036163919340508756,1063,709,460,1169,11.932224150250077,351,100.9,5.5,59.6,1.76,17.6,13.2,52.4,55.6,97.97,1191,1135,1016,3386
Grizzlies,2015,42,40,13328,5572,0.4180672268907563,7554,6.096852300242131,18924,3019,6859,44.0,2515,26.293779404077362,5338,0.471150244,504,5.269210663878725,1521,33.1,916,9.576581285938316,2497,26.10559330893884,3413,1697,17.741766858337687,3.2834413671184444,0.03432766719412905,1090,724,350,1074,11.228437009932044,-184,105.4,-2.9,56.2,1.56,16.1,13.8,47.7,52.4,95.65,1239,970,1198,3160
Hawks,2015,48,34,17520,7644,0.4363013698630137,7912,6.048929663608563,19304,3168,6923,45.8,2353,23.67203219315895,4597,0.5118555579999999,815,8.199195171026156,2326,35.0,679,6.830985915492957,2772,27.887323943661972,3451,2100,21.12676056338028,3.64,0.036619718309859155,1226,747,486,1233,12.404426559356136,296,98.8,4.1,66.3,1.71,19.1,15.0,51.6,55.2,99.4,1308,1071,976,3354
Heat,2015,48,34,13152,5884,0.4473844282238443,9304,7.280125195618154,25712,3150,6697,47.0,2652,27.697127937336816,5217,0.508338125,498,5.201044386422977,1480,33.6,807,8.428198433420366,2811,29.357702349869452,3618,1709,17.848563968668408,3.4429490930368636,0.035957692877669596,1155,553,531,1084,11.321148825065274,135,101.5,2.6,54.3,1.48,16.4,14.7,50.8,54.5,95.75,1278,1062,879,3444
Hornets,2015,48,34,13848,5864,0.42345465049104564,5226,4.524675324675325,13868,3036,6922,43.9,2163,22.116564417177916,4512,0.479388298,873,8.92638036809816,2410,36.2,734,7.505112474437628,2869,29.335378323108387,3603,1778,18.1799591002045,3.298087739032621,0.03372277851771596,1029,595,438,1033,10.56237218813906,223,101.8,3.3,58.6,1.73,16.8,12.7,50.2,54.5,97.8,1155,933,1017,3280
