team,season,Wins,Losses,ufga,ufgm,ufgp,pts_off_tov,TO_RATIO,pts_paint,FGM,FGA,FG%,2pm,2PM_PACE,2pa,2p%,3PM,3PM_PACE,3PA,3P%,OREB,OR_PACE,DREB,DR_PACE,REB,AST,AST_PACE,UncontestedAssists,UA_PACE,TOV,STL,BLK,STOCKS,STOCKS_PACE,+/-,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,TOV%,EFG%,TS%,PACE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Jazz,2015,40,42,12204,5196,0.4257620452310718,5432,4.140243902439025,14032,2957,6593,44.9,2263,24.265494316963327,4637,0.488031055,694,7.441561226678104,1956,35.5,880,9.435985417113447,2665,28.57602401887197,3545,1554,16.663092429766245,3.3436293436293436,0.035852770143998965,1224,631,425,1056,11.323182500536134,147,101.6,1.6,52.6,1.27,15.2,15.8,50.1,54.0,93.26,1312,940,961,3246
Kings,2015,33,49,14444,6524,0.4516754361672667,6498,4.25261780104712,16700,3283,7083,46.4,2623,25.65532081377152,5244,0.5001906939999999,660,6.455399061032864,1839,35.9,868,8.48982785602504,2760,26.99530516431925,3628,2009,19.64984350547731,3.2473867595818815,0.031762390058508234,1326,733,368,1101,10.768779342723006,-203,106.3,-3.0,61.2,1.52,17.7,15.7,51.0,54.6,102.24,1528,1117,1231,3574
Knicks,2015,32,50,11896,5208,0.4377942165433759,5154,4.083993660855785,14288,3022,6886,43.9,2412,25.169571115517062,5124,0.470725995,610,6.365438797871231,1762,34.6,850,8.869873734738599,2788,29.093185849942607,3638,1682,17.551914849212146,3.0963139120095127,0.03231048640310459,1099,467,466,933,9.7359908170719,-224,104.8,-2.8,55.7,1.53,16.1,13.9,48.3,52.7,95.83,1262,1043,1050,3538
Lakers,2015,17,65,11512,4748,0.4124391938846421,6176,4.568047337278107,17860,2880,6956,41.4,2241,22.869680579650986,4940,0.453643725,639,6.521073578936626,2016,31.7,878,8.960097969180529,2645,26.992550260230637,3523,1478,15.083171752219615,3.212449255751015,0.03278343969538744,1124,593,337,930,9.490764363710584,-784,109.3,-10.7,51.3,1.31,14.1,13.9,46.0,50.9,97.99,1352,1172,1393,3918
Magic,2015,35,47,13912,6052,0.43502012650948824,6296,4.7914764079147645,15936,3242,7120,45.5,2606,26.54849225753871,5302,0.49151263700000003,636,6.479217603911981,1818,35.0,843,8.5880195599022,2709,27.597799511002446,3552,1933,19.69233903830481,3.1308846352819453,0.031895727743296104,1155,673,417,1090,11.104319478402608,-133,104.6,-2.0,59.6,1.67,17.7,14.2,50.0,53.3,98.16,1314,934,1079,3564
Mavericks,2015,42,40,14168,5976,0.42179559570863917,6804,5.609233305853256,17444,3064,6900,44.4,2258,23.42323651452282,4558,0.495392716,806,8.360995850622405,2342,34.4,751,7.79045643153527,2781,28.848547717842322,3532,1813,18.807053941908713,3.2961941533370105,0.03419288540806027,1047,560,306,866,8.983402489626556,-25,104.3,0.6,59.2,1.73,17.2,13.1,50.2,54.4,96.4,1213,1100,1316,3350
Nets,2015,21,61,11908,5208,0.4373530399731273,5460,3.647294589178357,15404,3136,6920,45.3,2605,26.753620211564137,5412,0.48133776799999994,531,5.453425079593304,1508,35.2,863,8.863099517305125,2614,26.846051145116565,3477,1829,18.784019718599158,2.847457627118644,0.02924368519172891,1212,627,332,959,9.8490294751977,-603,108.5,-7.6,58.3,1.51,17.1,15.1,49.2,52.7,97.37,1497,989,1188,3924
Nuggets,2015,33,49,12728,5504,0.43243243243243246,6084,4.415094339622642,16900,3093,7003,44.2,2437,24.82681336593317,5060,0.48162055299999995,656,6.682966585167074,1943,33.8,941,9.58638956805216,2718,27.68948655256724,3659,1858,18.928280358598208,2.96232508073197,0.030178535867277607,1202,609,395,1004,10.228198859005705,-254,106.4,-3.7,60.1,1.55,17.0,14.8,48.9,53.1,98.16,1378,995,1070,3534
Pacers,2015,45,37,13552,5828,0.43004722550177094,7932,5.932685115931189,18248,3142,6985,45.0,2479,25.04293362965956,5096,0.486459969,663,6.697646226891606,1889,35.1,847,8.55641984038792,2779,28.073542782099203,3626,1741,17.587635114658045,3.347501435956347,0.033816561632047146,1219,742,391,1133,11.44560056571371,140,100.2,2.2,55.4,1.43,16.2,14.9,49.7,53.6,98.99,1337,1070,1002,3408
Pelicans,2015,30,52,13496,5880,0.43568464730290457,5260,4.290375203915171,14856,3153,7040,44.8,2451,24.780103124052168,5089,0.481627039,702,7.097361237488626,1951,36.0,782,7.906177332928926,2712,27.418865635426148,3494,1818,18.3803457688808,3.2343234323432344,0.03269966062423652,1102,633,342,975,9.857446163178647,-311,107.3,-4.1,57.7,1.65,16.9,13.5,49.8,53.7,98.91,1226,927,962,3544
Pistons,2015,44,38,13184,5520,0.4186893203883495,5412,4.52887029288703,15608,3111,7087,43.9,2371,24.345415340384022,4939,0.480056692,740,7.598316048875654,2148,34.5,1021,10.483622548516275,2777,28.51422117260499,3798,1594,16.367183489064587,3.4629861982434127,0.03555792379344299,1110,573,304,877,9.005031317383715,50,103.4,-0.2,51.2,1.44,14.9,13.7,49.1,52.2,97.39,1195,879,854,3640
Raptors,2015,56,26,13268,5716,0.43081097377148025,6298,5.41530524505589,16552,3006,6669,45.1,2298,24.11079634875669,4755,0.483280757,708,7.428391564368901,1914,37.0,836,8.771377609904523,2724,28.580421781554925,3560,1536,16.11583254642745,3.7213541666666665,0.03904473997132165,1073,636,449,1085,11.383905151610534,369,102.7,4.3,51.1,1.43,15.0,13.6,50.4,55.2,95.31,1163,948,898,3286
Rockets,2015,41,41,13656,5840,0.4276508494434681,7092,4.440826549780839,16800,3094,6847,45.2,2216,22.14228617106315,4314,0.513676402,878,8.772981614708234,2533,34.7,930,9.292565947242206,2601,25.989208633093526,3531,1821,18.195443645083934,3.2070291048874244,0.032044655324614556,1307,821,430,1251,12.5,16,105.6,-0.2,58.9,1.39,16.5,15.8,51.6,55.3,100.08,1597,1202,1183,3654
Spurs,2015,67,15,14888,6848,0.4599677592692101,7772,7.046237533998187,21476,3289,6797,48.4,2719,28.40576681989135,5279,0.51505967,570,5.954868366067697,1518,37.5,770,8.044295862933556,2831,29.57584621813623,3601,2010,20.99874634350188,3.406965174129353,0.03559303357845125,1071,677,485,1162,12.13957375679064,872,96.6,11.8,61.1,1.88,18.9,13.7,52.6,56.4,95.72,1103,876,996,3286
Suns,2015,23,59,12836,5400,0.4206918043004051,6018,3.6406533575317606,13976,3051,7018,43.5,2313,22.932778108268888,4900,0.47204081600000003,738,7.317073170731708,2118,34.8,943,9.34959349593496,2733,27.096966091612135,3676,1701,16.864961332540155,3.1746031746031744,0.03147534378944254,1410,632,313,945,9.369422962522307,-546,107.0,-7.6,55.8,1.21,15.5,16.9,48.7,52.6,100.86,1653,1034,1416,3590
Thunder,2015,55,27,15088,6872,0.45546129374337224,8906,6.159059474412172,24684,3372,7082,47.6,2694,27.110798027573715,5137,0.524430602,678,6.8229848042668815,1945,34.9,1071,10.777900774881754,2916,29.34487269799738,3987,1883,18.949381100935895,3.6494954859267126,0.0367263307429477,1305,603,487,1090,10.969105363791888,597,103.0,6.9,55.8,1.44,16.8,15.9,52.4,56.5,99.37,1446,1143,1085,3706
Timberwolves,2015,29,53,11456,5240,0.4574022346368715,5614,3.8425735797399043,14784,3095,6668,46.4,2640,27.05195204426683,5321,0.496147341,455,4.662362947023261,1347,33.8,821,8.412747207705706,2587,26.50886361307511,3408,1916,19.63315913515729,2.7348643006263047,0.028024021934893992,1231,656,375,1031,10.56460702940875,-290,107.1,-2.8,61.9,1.56,17.8,15.3,49.8,54.9,97.59,1461,1079,1097,3784
Trail Blazers,2015,44,38,14956,6776,0.45306231612730674,6020,4.4992526158445445,15916,3167,7040,45.0,2303,23.42589767063371,4704,0.48958333299999995,864,8.788526090936832,2336,37.0,948,9.642966127555692,2782,28.29824026040077,3730,1748,17.780490285830535,3.876430205949657,0.03943068056097708,1200,562,380,942,9.581934696368629,68,105.6,0.6,55.2,1.46,16.2,14.8,51.1,54.8,98.31,1338,1017,907,3354
Warriors,2015,73,9,16728,8280,0.4949784791965567,6948,5.09010989010989,18348,3489,7159,48.7,2412,23.728480078701423,4567,0.528136632,1077,10.59517953762912,2592,41.6,816,8.027545499262173,2972,29.23757993113625,3788,2373,23.34481062469257,3.4892541087231352,0.034326159456203986,1245,689,498,1187,11.677324151500246,882,100.9,11.6,68.0,1.91,20.5,14.9,56.3,59.3,101.65,1365,1130,1187,3698
Wizards,2015,41,41,14360,6312,0.4395543175487465,5428,4.214285714285714,13688,3238,7033,46.0,2529,25.131670476001194,5050,0.500792079,709,7.045612640365697,1983,35.8,743,7.383484050481964,2688,26.711716188015505,3431,2005,19.9244758024446,3.1481296758104738,0.03128420625867508,1186,708,323,1031,10.245453642055054,-41,103.6,-0.7,61.9,1.69,18.2,14.3,51.1,54.4,100.63,1288,958,1045,3376
