team,season,ufga,ufgm,pts_off_tov,pts_paint,ufgp,Wins,Losses,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,UncontestedAssists,GP,MIN_x,MIN_y,DEFRTG,AST%,AST/TO,AST RAT,OREB%,DREB%,TOV%,EFG%,TS%,PACE,PIE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Clippers,2016,1512,668,620,1640,0.441798942,51,31,3242,6820,47.5,2401,4575,0.524808743,841,2245,37.5,1586,2128,74.5,738,2790,3528,1848,1062,612,347,258,1626,1835,352,0.361471861,82,3951,3951,105.8,57,1.74,17.3,21.5,76.9,13.1,53.7,57.4,98.22,52.7,1247,1044,1171,3502
Grizzlies,2014,13568,5896,5658,15808,0.434551887,55,27,3097,6763,45.8,2674,5517,0.484683705,423,1246,33.9,1445,1869,77.3,856,2634,3490,1777,1094,700,347,424,1567,1662,266,3.317951604,82,1397,3981,105.3,58.9,1.42,16.7,19.4,77.1,15.3,50.3,54.5,95.66,47.6,1158,954,1101,3196
Grizzlies,2015,13328,5572,7554,18924,0.418067227,42,40,3019,6859,44,2515,5338,0.471150244,504,1521,33.1,1584,2024,78.3,916,2497,3413,1697,1090,724,350,469,1783,1732,-184,3.283441367,82,3966,3966,105.4,56.2,1.56,16.1,25.3,75.1,13.8,47.7,52.4,95.65,48.3,1239,970,1198,3160
Grizzlies,2016,1616,616,650,1428,0.381188119,43,39,2984,6854,43.5,2217,4685,0.47321238,767,2169,35.4,1504,1918,78.4,886,2621,3507,1744,1059,653,344,410,1840,1708,40,0.353211009,82,3981,3981,104.5,58.4,1.65,16.6,24.8,77.5,13.5,49.1,53.5,94.74,50.1,1217,946,1199,3096
Hawks,2014,17052,7604,6866,16540,0.445930096,60,22,3121,6699,46.6,2303,4547,0.506487794,818,2152,38,1349,1735,77.8,715,2611,3326,2111,1167,744,380,404,1457,1611,445,3.60208432,82,1397,3946,108.4,61.2,1.5,17.8,21.1,74,15.7,52,55.4,99.75,47.2,1290,1161,916,3232
Hawks,2015,17520,7644,7912,19304,0.43630137,48,34,3168,6923,45.8,2353,4597,0.511855558,815,2326,35,1282,1638,78.3,679,2772,3451,2100,1226,747,486,411,1570,1500,296,3.64,82,3966,3966,98.8,66.3,1.71,19.1,19.1,74.6,15,51.6,55.2,99.4,52.8,1308,1071,976,3354
Hawks,2016,1404,640,736,1568,0.455840456,43,39,3123,6918,45.1,2394,4781,0.500732064,729,2137,34.1,1484,2039,72.8,842,2793,3635,1938,1294,672,397,424,1491,1768,-70,0.330237358,82,3976,3976,103.1,62.1,1.5,17.5,23.6,76.1,15.7,50.4,54.1,99.83,50.6,1425,1083,1048,3210
Heat,2014,10792,4604,5388,13220,0.426612305,37,45,2885,6330,45.6,2329,4671,0.498608435,556,1659,33.5,1438,1940,74.1,747,2461,3208,1626,1214,642,372,359,1636,1715,-213,2.831488315,82,1349,3946,104.4,56.6,1.33,16.6,18.6,78.6,16.2,52.8,55.9,97.77,48.6,1382,1088,936,3362
Heat,2015,13152,5884,9304,25712,0.447384428,48,34,3150,6697,47,2652,5217,0.508338125,498,1480,33.6,1405,1887,74.5,807,2811,3618,1709,1155,553,531,337,1502,1608,135,3.442949093,82,3966,3966,101.5,54.3,1.48,16.4,23.8,77.8,14.7,50.8,54.5,95.75,52.5,1278,1062,879,3444
Heat,2016,1172,476,482,1392,0.406143345,41,41,3202,7037,45.5,2394,4824,0.496268657,808,2213,36.5,1248,1768,70.6,872,2705,3577,1742,1102,588,469,398,1680,1530,87,0.273249139,82,3956,3956,104.1,54.4,1.58,16.3,24.2,76.4,13.7,51.2,54.1,97.59,50,1142,1053,844,3646
