team,season,ufga,ufgm,pts_off_tov,pts_paint,ufgp,Wins,Losses,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,UncontestedAssists,GP,MIN_x,MIN_y,DEFRTG,AST%,AST/TO,AST RAT,OREB%,DREB%,TOV%,EFG%,TS%,PACE,PIE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Thunder,2016,1396,568,608,1660,0.406876791,47,35,3237,7169,45.2,2545,5053,0.503661191,692,2116,32.7,1575,2113,74.5,1002,2821,3823,1721,1230,648,408,450,1715,1697,62,0.330040674,82,3961,3961,105.1,53.2,1.4,15.6,27.9,79,14.8,50,54,100.47,49.9,1387,998,913,3896
Timberwolves,2014,10476,4516,5714,14652,0.431080565,16,66,2986,6820,43.8,2580,5597,0.460961229,406,1223,33.2,1638,2110,77.6,949,2406,3355,1771,1231,668,327,449,1571,1751,-721,2.549971767,82,1402,3961,107.6,57,1.65,17.2,25.6,76.6,14,52,56.3,98.07,51.7,1427,1223,1175,3938
Timberwolves,2015,11456,5240,5614,14784,0.457402235,29,53,3095,6668,46.4,2640,5321,0.496147341,455,1347,33.8,1753,2213,79.2,821,2587,3408,1916,1231,656,375,427,1696,1768,-290,2.734864301,82,3976,3976,107.1,61.9,1.56,17.8,24.3,74.7,15.3,49.8,54.9,97.59,49.7,1461,1079,1097,3784
Timberwolves,2016,1060,464,594,1488,0.437735849,31,51,3235,6922,46.7,2634,5199,0.506635892,601,1723,34.9,1586,1986,79.9,938,2540,3478,1940,1150,654,370,413,1646,1681,-91,0.239175258,82,3961,3961,109.1,60,1.69,17.8,27.2,75.9,14.4,51.1,55.5,97.11,50.1,1413,1100,1140,3792
Warriors,2014,16408,7664,7050,17724,0.467089225,67,15,3410,7137,47.8,2527,4920,0.513617886,883,2217,39.8,1313,1709,76.8,853,2814,3667,2248,1185,762,496,293,1628,1541,828,3.409252669,82,1397,3946,101.3,69.8,1.9,21.8,21.1,76.8,15.9,58.8,61.9,103.01,58.1,1250,1164,1142,3410
Warriors,2015,16728,8280,6948,18348,0.494978479,73,9,3489,7159,48.7,2412,4567,0.528136632,1077,2592,41.6,1366,1790,76.3,816,2972,3788,2373,1245,689,498,336,1701,1627,882,3.489254109,82,3976,3976,100.9,68,1.91,20.5,23.5,76,14.9,56.3,59.3,101.65,56.7,1365,1130,1187,3698
Warriors,2016,1436,668,640,1684,0.465181058,67,15,3532,7140,49.5,2550,4578,0.557011796,982,2562,38.3,1457,1850,78.8,770,2873,3643,2491,1211,785,555,313,1585,1588,954,0.268165395,82,3956,3956,101.1,70.5,2.06,21.4,22.8,74.9,14.4,56.3,59.7,102.24,57.9,1371,1146,1182,3726
Wizards,2014,13900,6244,5762,14732,0.449208633,46,36,3139,6790,46.2,2642,5409,0.488445184,497,1381,36,1305,1758,74.2,862,2801,3663,1969,1233,601,378,350,1707,1610,59,3.171152869,82,1402,3991,103.2,56.6,1.57,16.7,22.3,76.5,14,51.1,55,99.2,51.3,1333,1034,963,3138
Wizards,2015,14360,6312,5428,13688,0.439554318,41,41,3238,7033,46,2529,5050,0.500792079,709,1983,35.8,1349,1849,73,743,2688,3431,2005,1186,708,323,356,1708,1651,-41,3.148129676,82,3951,3951,103.6,61.9,1.69,18.2,20.6,77.7,14.3,51.1,54.4,100.63,49.7,1288,958,1045,3376
Wizards,2016,1384,648,608,1512,0.468208092,49,33,3388,7137,47.5,2632,5107,0.515371059,756,2030,37.2,1421,1812,78.4,843,2671,3514,1956,1162,693,336,377,1745,1621,148,0.331288344,82,3971,3971,106.9,57.7,1.68,17.7,24.1,75.5,14.1,52.8,56.4,99.68,51.1,1348,1134,989,3596
