team,season,Wins,Losses,ufga,ufgm,ufgp,pts_off_tov,TO_RATIO,pts_paint,FGM,FGA,FG%,2pm,2PM_PACE,2pa,2p%,3PM,3PM_PACE,3PA,3P%,OREB,OR_PACE,DREB,DR_PACE,REB,AST,AST_PACE,UncontestedAssists,UA_PACE,TOV,STL,BLK,STOCKS,STOCKS_PACE,+/-,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,TOV%,EFG%,TS%,PACE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Pistons,2014,32,50,11748,4960,0.42219952332311883,5498,4.245559845559845,15000,3041,7038,43.2,2338,23.84497705252422,4995,0.46806806799999995,703,7.169811320754717,2043,34.4,1051,10.719020907700154,2630,26.8230494645589,3681,1771,18.06221315655278,2.800677583286279,0.02856376933489321,1099,623,383,1006,10.260071392146864,-82,104.3,-0.2,56.6,1.51,16.7,14.7,51.1,54.1,98.05,1295,1110,930,3522
Raptors,2014,49,33,11360,4960,0.43661971830985913,5366,4.36260162601626,14924,3108,6829,45.5,2382,23.72746289471063,4769,0.499475781,726,7.231795995617094,2060,35.2,881,8.775774479529833,2526,25.16186871202311,3407,1701,16.943918717003687,2.9159318048206937,0.029046038498064485,1057,615,357,972,9.682239266859249,252,102.4,8.2,55.9,1.66,17.5,13.8,54.8,58.3,100.39,1230,1162,1013,3582
Rockets,2014,56,26,14360,6028,0.41977715877437327,7330,4.8736702127659575,17984,3032,6832,44.4,2099,20.65944881889764,4152,0.505539499,933,9.183070866141733,2680,34.8,958,9.429133858267717,2624,25.826771653543307,3582,1820,17.913385826771655,3.312087912087912,0.032599290473306224,1366,776,407,1183,11.643700787401576,282,102.2,11.2,57.8,1.49,17.1,15.1,56.5,60.4,101.6,1504,1149,1253,3616
Spurs,2014,55,27,13484,5868,0.4351824384455651,5516,4.466396761133603,15504,3208,6854,46.8,2531,26.198116137045854,5007,0.505492311,677,7.007556153607287,1847,36.7,806,8.342821654073077,2772,28.69268191698582,3578,2000,20.701790704895974,2.934,0.030369526964082395,1146,657,444,1101,11.396335783045233,508,101.7,3.3,59.4,1.59,17.5,14.8,50.9,54.5,96.61,1235,979,1156,3482
Suns,2014,39,43,12776,5416,0.42391984971822166,5706,4.041076487252124,14428,3178,7038,45.2,2480,23.816383366945164,4990,0.496993988,698,6.703159512148276,2048,34.1,896,8.60462882934793,2643,25.381734370498418,3539,1659,15.932008066839527,3.2646172393007835,0.03135136117642162,1238,700,385,1085,10.41966772303851,-74,109.3,-7.0,50.8,1.27,14.8,15.1,49.3,53.4,104.13,1412,1183,1250,3718
Thunder,2014,45,37,12264,5316,0.4334637964774951,5238,3.8628318584070795,14380,3184,7119,44.7,2552,25.945506303375357,5255,0.48563273100000004,632,6.425376169174461,1864,33.9,1052,10.695404636030906,2844,28.914192761285076,3896,1681,17.090280601870678,3.1624033313503865,0.03215131487749478,1205,598,454,1052,10.695404636030906,179,100.7,1.4,55.5,1.39,15.8,15.1,49.3,52.6,98.36,1356,1049,1028,3506
Timberwolves,2014,16,66,10476,4516,0.43108056510118364,5714,4.0042046250875964,14652,2986,6820,43.8,2580,26.307739369837872,5597,0.460961229,406,4.139900071377587,1223,33.2,949,9.676761496889977,2406,24.53349648210462,3355,1771,18.05852962169879,2.5499717673630715,0.026001547541175403,1231,668,327,995,10.1458142143367,-721,107.6,1.4,57.0,1.65,17.2,14.0,52.0,56.3,98.07,1427,1223,1175,3938
Trail Blazers,2014,51,31,14756,6360,0.4310111141230686,5018,4.043513295729251,14056,3175,7049,45.0,2368,23.921608243256895,4818,0.491490245,807,8.152338620062633,2231,36.2,879,8.879684816648147,2881,29.103949893928682,3760,1799,18.173552884129712,3.535297387437465,0.035713682063213105,1117,525,372,897,9.061521365794524,347,102.0,1.2,47.6,1.21,14.0,14.8,49.7,54.2,98.99,1241,1129,1094,3534
Warriors,2014,67,15,16408,7664,0.46708922476840564,7050,5.64,17724,3410,7137,47.8,2527,24.53159887389574,4920,0.513617886,883,8.571983302591981,2217,39.8,853,8.280749441801767,2814,27.317736142122122,3667,2248,21.823123968546742,3.409252669039146,0.0330963272404538,1185,762,496,1258,12.212406562469663,828,101.3,12.7,69.8,1.9,21.8,15.9,58.8,61.9,103.01,1250,1164,1142,3410
Wizards,2014,46,36,13900,6244,0.44920863309352516,5762,4.32258064516129,14732,3139,6790,46.2,2642,26.633064516129032,5409,0.488445184,497,5.01008064516129,1381,36.0,862,8.689516129032258,2801,28.235887096774192,3663,1969,19.848790322580644,3.171152869476892,0.03196726682940415,1233,601,378,979,9.868951612903226,59,103.2,2.1,56.6,1.57,16.7,14.0,51.1,55.0,99.2,1333,1034,963,3138
