,Wins,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
+/-,0.98,0,0.136350032,0.718979934,-0.278968641,0.111569673,0.626864152,0.273702314,0.411578692,0.434442358,0.431722317,0,0,0,0.498382305,0.354489588,0,0.640949455,0.660858283,0,0.680310846,0.016846161,0.612368589,-0.979492301,0,0,0,0,0,-0.066621412,-0.046747165,0,0.448625953,0.106531947,0.308488764,0.342421464,-0.2909558,0,0.591053028,0,0.601530139,0.608234803,0.35812101,0.376641531,,0.692842667,0.752012435,0.56415229
NETRTG,0.97,0.994498446,0.15413116,0.740146664,-0.277633561,0.12505683,0.63039559,0.249471647,0.392016959,0.41507427,0.456119876,0,0,0,0.529427116,0.395499801,-0.871067835,0.631250583,0.658872342,0,0.70928607,-0.031054929,0.608110861,-0.973795777,0,0,0,0,0,-0.140536178,-0.117560905,0,0.39415651,0.112492412,0.339381162,0.377624223,-0.302160427,0,0.60430212,0,0.569488268,0.572251316,0.369244424,0.382062686,,0.675549014,0.743704177,0.588147319
TS%,0.80,0.823695325,0.089379873,0.888357869,-0.354226393,0.127867339,0.731554856,0.292744646,0.466742418,0.464707965,0.633729819,0.65899075,0.48918614,0.527468288,0.671344943,0.395471221,-0.559155004,0.513201222,0.427757592,0.961364357,0.847383208,-0.092929408,0.696221409,-0.795030041,0.839863513,0,0,0,0,-0.21515953,-0.237079454,0,0.256230107,0.214707504,0.416394494,0.406246547,0.026639512,0.018518219,0.307046223,0,0.410433639,0.455499975,0.265790047,0.249540217,,0.648257029,0.790012708,0.811781957
EFG%,0.76,0.787093038,0.054457975,0.91466133,-0.379644243,0.115505325,0.77652204,0.358486335,0.53442484,0.526235818,0.683781119,0.697248603,0.527027146,0.525672562,0.708582928,0.388319737,-0.565868679,0.527124617,0.4008965,0,0.854483014,-0.006264326,0.756313907,-0.756285765,0.803445688,0,0,0,0,-0.22787294,-0.264366073,0,0.258805857,0.237231013,0.428764957,0.400858435,0.094345539,0.070453666,0.258851313,0,0.39340494,0.454322215,0.24838675,0.214746027,,0.694054041,0.827858787,0.804641308
ufgm,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.732835867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.960174053,0,0
ufga,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.669554067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2p%,0.66,0,0.211700118,0,-0.279921954,0.264851912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882700711,-0.114124917,0.712428102,-0.664728573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368547461,0,0,0,0.419677669,0.377406294,,0.612079068,0.724068479,0.714201466
FG%,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153914961,0.790069623,-0.652658425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336508716,0,0,0,0.329006017,0.353316314,,0.419503358,0.608102719,0.87250436
DR_PACE,0.65,0,0.098906552,0.255671048,-0.150157625,-0.007278062,0.488462043,0.153672757,0.264090712,0.314851568,0,0,0,0,0,0,0,0.853790298,0,0,0.310399484,0.022315396,0.28863647,-0.650095163,0,0,0,0,0,-0.027201948,0.044184022,0,0,0,0,0,0,0,0.406839278,0,0,0,0.143381131,0.295552382,,0.395418216,0.44370153,0.3607524
3P%,0.64,0,-0.055669317,0.471352135,-0.258025252,-0.008949162,0,0.318352748,0.554485274,0.550991652,0,0,0,0,0,0,0,0,0,0,0.583470889,0.151607323,0.614394676,-0.642166922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011862099,0,0,0,-0.103296656,-0.102072417,,0.542751788,0.677960607,0.704991868
DREB,0.62,0,-0.050840803,0.347295952,-0.18199896,0.008689824,0.602794583,0.371410986,0.488208776,0.484818836,0,0,0,0,0,0,0,0,0,0,0.346368429,0.413335649,0.562868136,-0.620923541,0,0,0,0,0,0.00831311,-0.033274649,0,0,0,0,0,0,0,0.347142158,0,0,0,0.227553538,0.324598112,,0.598531168,0.646620251,0.453674789
AST/TO,0.61,0.577303244,0.206088211,0.443469055,0.011696704,0.245050155,0.498874936,0.110943801,0.237344573,0.230999829,0.729303671,0,0.694789593,0,0.788305535,0.135057691,-0.522304874,0.40530362,0.332475857,0,0.491689364,0.254702269,0.592101698,-0.609030855,0.607980463,0,0,0,0,-0.476888404,-0.493999168,0,0.007007153,0.104160901,0.165441937,0.147661078,-0.521825374,0,0.360409617,0,0.071053209,0.096549568,0.054498576,0.106625933,,0.541195972,0.598302668,0.490371008
TO_RATIO,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.606035255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844291316,0,,0.450999482,0.409049445,0.108754046
UncontestedAssists,0.60,0,-0.297190014,0.353704494,-0.532681609,-0.340421831,0.394654625,0.521047382,0.561136791,0.597883576,-0.069246182,0,0,0,-0.056510134,0,0,0.533606939,0.564963433,0,0.183148136,0.028874241,0.183576355,-0.598141187,0,0,0,0,0,0.014601531,0.037677361,0,0.4180823,0,0,0,0,0,0.410123009,0,0,0,0.261266985,0.259345906,,0.737920803,0.684040005,0.193375375
FGM,0.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.596823357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291154586,0,0,0,0.322243059,0.355127199,,0.596318541,0.731940289,0.767167176
