,Wins,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
UA_PACE,0.60,0,-0.229101001,0.306452865,-0.501091638,-0.333744439,0.343933159,0.421799743,0.459610462,0.515814667,-0.180436184,0,0,0,-0.130612312,0,0,0.470001517,0.610989412,0,0.164743853,-0.115434199,0.077743778,-0.595302424,0,0,0,0,0,0.00203849,0.067223707,0,0.361359844,0,0,0,0,0,0.422566288,0,0,0.978747713,0.221397119,0.2420689,,0.638002862,0.586410619,0.153492794
ufgp,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.562005935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.387580668,0.627535927,0
AST_PACE,0.49,0,0.2989759,0.678629639,0.062680533,0.423709823,0.553425517,0.065670418,0.218905527,0.178426518,0.978255306,0,0,0,0,0,0,0.334235718,0.125412676,0,0.727903072,0.261529376,0.807531565,-0.48655129,0,0,0,0,0,-0.335630885,-0.406512756,0,0.042458969,0,0,0,0,0,0.20487354,0,0,0,0.203646259,0.174602301,,0.548107268,0.671708465,0.712481398
AST RAT,0.46,0.473557426,0.274740554,0.666373136,0.042109599,0.397374214,0.545217895,0.065308921,0.215193929,0.175122063,0.970942798,0,0.939903,0.807571154,0.993071015,0.291438908,-0.418252299,0.310251444,0.104433246,0,0.713488082,0.219909715,0.768514238,-0.462079463,0.512507251,0,0,0,0,-0.434701929,-0.504526179,0,-0.038963771,0.332768393,0.438396876,0.373644733,0.051204914,0,0.203276387,0,-0.13926563,-0.066122268,0.185194034,0.144871658,,0.542419383,0.659432844,0.691445691
REB,0.43,0,0.030004569,0.152213935,0.010209292,0.092922777,0.326414218,0.24788808,0.305583674,0.297286353,0,0,0,0,0,0,0,0.771378514,0.636767274,0,0.152605098,0.537459189,0.468000978,-0.432803028,0,0,0,0,0,0.642767173,0.596809765,0,0,0,0,0,0,0,0.19879169,0,0,0,0.218045127,0.3455959,,0.327452316,0.364101817,0.265962635
3PM_PACE,0.42,0,-0.767334259,0.31144901,-0.871299704,-0.710216872,0,0,0.993988121,0,0,0,0,0,0,0,0,0,0,0,0.010712251,0.270355852,0.183426361,-0.420304055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038474164,0,0,0,-0.071999891,-0.16538567,,0.666070675,0.613344161,0.126104199
AST,0.42,0,0.201396725,0.64299874,0.039792268,0.381319455,0.539539651,0.148372514,0.287726491,0.228995969,0,0,0,0,0,0,0,0.344876752,0.037960204,0,0.663296007,0.388604743,0.829201239,-0.417453084,0,0,0,0,0,-0.288142514,-0.397974184,0,0.08083247,0,0,0,0,0,0.151416839,0,0,0,0.211753114,0.160971803,,0.568509289,0.678998679,0.672028989
3PM,0.40,0,-0.76696888,0.320700451,-0.843527396,-0.67767826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021503783,0.335499355,0.233244281,-0.3973108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048937724,0,0,0,-0.048870916,-0.151086707,,0.678163253,0.629533728,0.14437013
pts_paint,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37151098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852906487,0,0,0,0.930668356,0,,0.300600412,0.310914082,0.189759454
pts_off_tov,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34726791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.37635398,0.350310194,0.113643187
BLK,0.33,0,0.202053905,0.371615019,-0.027705625,0.177749556,0.297579063,-0.105321577,-0.007472057,-0.008996889,0.245237101,0,0,0,0.289076283,0,0,0.3144896,0.341534943,0,0.447280713,-0.274775151,0.22661234,-0.325453097,0,0,0,0,0,-0.237041612,-0.219080091,0,0.090073779,0.01817296,0,0,0.094703685,0,0.391481358,0,0.065442492,0.055565997,0.461293453,0.473012998,,0.120428713,0.224680028,0.408219227
STOCKS_PACE,0.31,0,0.160199136,0.482144345,-0.075997804,0.18746579,0.163660287,-0.082338179,-0.026006492,-0.046865144,0.343960815,0,0,0,0.357890444,0.704585061,0,-0.124434392,-0.164641727,0,0.474297533,-0.322759522,0.218528263,-0.306023711,0,0,0,0,0,-0.305619084,-0.320483387,0,-0.28982326,0.692952825,0.975804542,0,0.206466488,0,0.402476851,0,-0.067058399,-0.050108361,0.498177321,0.355531519,,0.167624026,0.21330428,0.248567916
STOCKS,0.27,0,0.084927535,0.497118204,-0.092508065,0.177996524,0.191188402,0.013278951,0.066093797,0.024204868,0.450747518,0,0,0,0.423935552,0.657448615,0,-0.077279806,-0.233586764,0,0.460724756,-0.156068751,0.31002329,-0.269404862,0,0,0,0,0,-0.281088015,-0.341126792,0,-0.238087156,0.765322735,0,0,0.315313558,0,0.353982419,0,-0.128396616,-0.068057711,0.508589381,0.346003405,,0.237575135,0.279015276,0.265845616
3PA,0.25,0,-0.858722497,0.211834393,-0.880563095,-0.772344917,0,0,0.963996135,0.959216434,0,0,0,0,0,0,0,0,0,0,-0.165840559,0.337041757,0.067397343,-0.248579156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058222135,0,0,0,-0.028044814,-0.145454166,,0.604947827,0.500644447,-0.07450747
AST%,0.24,0.251058191,0.073200969,0.506457656,-0.031597199,0.234393331,0.392006529,0.159971027,0.257088379,0.202331863,0.943643307,0,0,0,0.92651343,0.215914159,-0.246591625,0.156303047,-0.120641376,0,0.487701192,0.270983461,0.600307814,-0.237037514,0.28951776,0,0,0,0,-0.442396268,-0.54284735,0,-0.161798467,0.426104796,0.460118127,0.361205083,0.184337243,0,0.049247023,0,-0.312344501,-0.215947595,0.121509906,0.026557154,,0.45979043,0.534195131,0.501498983
2PM_PACE,0.14,0,0,0,0,0.951785061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547136663,-0.14105036,0.392409577,-0.143164368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299022732,0,0,0,0.236486751,0.378154881,,-0.225281795,-0.083962855,0.401073822
2pm,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579098027,0.079239475,0.557011426,-0.111999771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261971683,0,0,0,0.285424237,0.397590324,,-0.128247219,0.015844765,0.456843417
STL,0.08,0,-0.059904263,0.342199772,-0.099084558,0.084352039,-0.000502935,0.107586878,0.094084016,0.039803204,0.388622778,0,0,0,0.315597523,0,0,-0.37118444,-0.601693974,0,0.229274114,0.02762464,0.21780217,-0.079473921,0,0,0,0,0,-0.170498531,-0.265508212,0,-0.392864995,0,0,0,0.33749964,0,0.135299734,0,-0.226273919,-0.137772302,0.280816912,0.055067061,,0.212372243,0.178307557,0.004051421
FGA,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48369295,-0.030379699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008106275,0,0,0,0.047819932,0.067032978,,0.358076682,0.306365073,-0.012449217
Wins,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
season,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR_PACE,-0.04,0,0.164664506,-0.208024116,0.242109324,0.127309037,-0.240439583,-0.135371094,-0.183656562,-0.171255014,0,0,0,0,0,0,0,0,0,0,-0.182897877,0.198535867,-0.039069432,0.043232735,0,0,0,0,0,0.977847967,0,0,0,0,0,0,0,0,-0.079294432,0,0,0,0.034772901,0.140951186,,-0.271544615,-0.269976386,-0.152301404
OREB,-0.07,0,0.10834892,-0.178890005,0.235130188,0.135552792,-0.212727553,-0.057582532,-0.107522615,-0.116479781,0,0,0,0,0,0,0,0,0,0,-0.177158814,0.346964438,0.057816623,0.067377717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105515275,0,0,0,0.068697633,0.1523026,,-0.205964103,-0.206264185,-0.12820928
PACE,-0.12,-0.100766362,-0.286063775,0.14071073,-0.051840215,0.021150304,0.15294713,0.381953871,0.379435678,0.277879353,0.5395777,0.352489283,0.502950467,0.091354105,0.354499777,-0.082389848,0.150633012,0.181411082,-0.356693213,0.1859376,0.030024863,0.693900197,0.456498546,0.119735441,-0.114395695,0,0,0,0,0.060464834,-0.149193836,0,0.1774566,0.470935261,0.301869323,0.086867193,0.548929465,0.316270763,-0.145613661,0.108182833,-0.307928229,-0.107041918,0.137979559,0.022473581,,0.327062066,0.318402389,0.121103016
OPP PTS 2ND CHANCE,-0.22,-0.222629818,-0.179546798,0.056490143,-0.059513981,-0.036839589,-0.170663604,0.128557402,0.074977373,0.018825752,0.191957921,0.088931165,0.251709118,-0.148493793,0.095433125,0.307517772,0.201564303,-0.048239534,-0.300355888,-0.026091789,-0.066916965,0.149985641,0.035962844,0.217520232,-0.196645895,0,0,0.522855771,0,0.070728608,-0.03315159,0.478694246,0.008055856,0.226049582,0.368321854,0.270884121,0.436516694,0.355320579,0.030276126,-0.014294181,-0.379865616,-0.292005541,0.373516159,0.286869931,,-0.096320185,-0.0654881,0.034347198
2pa,-0.25,0,0.830848628,0,0,0.851022765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096691693,0.149412677,0.172700011,0.245771162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057065721,0,0,0,0.053525023,0.186502625,,-0.455081285,-0.37157008,0.07198281
TOV%,-0.36,-0.283663003,0.041992275,0.162402497,0.048465996,0.140530241,-0.085983087,-0.09039595,-0.097427332,-0.139960152,0.0827529,-0.020252541,0.078492767,-0.598049436,0.015125559,0.155921096,0.28872322,-0.219413418,-0.373899354,0,0.14808543,-0.092315555,0.075800154,0.356008664,-0.289535105,0,0,0,0,0.316917162,0.251045148,0,0.033595637,0.253147145,0.291152403,0.234873538,0.965239983,0,-0.307175226,0,-0.291335171,-0.236424735,0.182333748,0.049674297,,-0.169599409,-0.105700767,0.115302157
TOV,-0.36,0,-0.063961205,0.159109393,0.016431224,0.105199901,-0.042021029,0.039938008,0.028434485,-0.035506065,0.196332118,0,0,0,0.084181455,0,0,-0.144051277,-0.425484223,0,0.110138375,0.11596576,0.17122705,0.359243226,0,0,0,0,0,0.312799281,0.198014462,0,0.088709061,0,0,0,0,0,-0.326963153,0,-0.333801608,-0.23109576,0.183582328,0.032239707,,-0.065738785,-0.018952951,0.107302074
OPP PTS PAINT,-0.51,-0.491138107,0.040274909,-0.159910728,0.264570793,0.173365074,-0.187379481,-0.115581012,-0.14474703,-0.200739823,0.073470301,-0.045882327,0.058717574,-0.273570554,-0.018286544,-0.050133414,0.592460047,-0.10530959,-0.322347874,-0.199826572,-0.129109657,0.284445748,0.065777766,0.513020636,-0.493852529,0.489144042,0.467376723,0.608240318,0,0.302743954,0.212048593,0.414362531,0.111989409,-0.062880695,-0.079661928,-0.1804026,0.45092769,0.384960478,-0.415502589,-0.240234375,-0.533637068,-0.465696756,-0.096213883,0.00720086,,-0.362528002,-0.277189858,0.057955711
OPP PTS FB,-0.54,-0.562040309,-0.261901992,-0.268609571,-0.015622928,-0.165057832,-0.205284077,0.06086285,0.00343641,-0.038854909,0.003173929,-0.076232663,0.118414526,-0.28329423,-0.079106262,-0.156977795,0.559797655,-0.252790489,-0.427355661,-0.268542797,-0.317748426,0.095944413,-0.214386958,0.543138922,-0.554114334,0.478770508,0,0.627608482,0,-0.010944855,-0.085116737,0.350830587,-0.200625066,0.097453449,-0.02761169,-0.108895942,0.441103613,0.379342556,-0.32295679,-0.270279465,-0.409071691,-0.351703401,-0.009318989,-0.098608767,,-0.224071888,-0.233054204,-0.198309619
OPP PTS OFF TOV,-0.58,-0.532841796,-0.134356775,-0.014157713,0.019614559,0.010360733,-0.18972763,0.006202976,-0.040184329,-0.098346473,0.070530524,-0.058987314,0.125698977,-0.574544395,-0.036623427,-0.004448543,0.573105311,-0.322046108,-0.560554293,-0.091213458,-0.076311014,0.051907048,-0.031682932,0.576468594,-0.535478532,0,0,0,0,0.284138959,0.181725025,0.484008531,-0.065890044,0.241249399,0.178947534,0.076374728,0.920201976,0.888850661,-0.48208689,-0.149471481,-0.467532003,-0.384875262,0.051933506,-0.083650433,,-0.25965398,-0.220677814,-0.021953465
DEFRTG,-0.82,-0.853820712,-0.124016562,-0.538328299,0.215847456,-0.079801594,-0.431611113,-0.173701789,-0.262764032,-0.286983981,-0.33891148,0,0,0,-0.410601394,-0.443975551,0,-0.53816497,-0.593301395,0,-0.505635279,0.066394306,-0.402289908,0.820219832,0,0,0,0,0,0.296019559,0.26306797,0,-0.223895327,-0.175848919,-0.418334547,-0.470400669,0.311387868,0,-0.696149483,0,-0.475102663,-0.4637556,-0.440820108,-0.390844361,,-0.591742264,-0.584022505,-0.29951101
Losses,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
