,Wins,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
BLK,0.24,0,-0.302816084,-0.048370914,-0.222788348,-0.277711897,0.26851884,0.195319528,0.239625267,0.222143874,0.106008523,0,0,0,0.045954532,0,0,0.267758011,0.15367493,0,-0.046263809,-0.03626055,-0.054556779,-0.241251224,0,0,0,0,0,0.218248465,0.165154021,0,0.339600653,0.05621765,0,0,0.084257595,0,0.080306587,0,0.036734844,0.082289839,0.035315585,0.049820251,,0.151160936,0.116791,-0.11495556
AST/TO,0.23,0.256317185,0.12474953,0.09540717,0.061641706,0.134559207,0.387819672,0.010387586,0.112073606,0.111952554,0.506928902,0,0.659690146,0,0.477328145,0.194562669,-0.090702477,-0.024805368,-0.01635009,0,0.21277911,0.124246764,0.263017032,-0.225711944,0.498551096,0,0,0,0,0.00040636,0.009452937,0,-0.020044331,0.240029776,0.300375951,0.305493178,0.016820906,0,0.456177198,0,-0.056068042,-0.058844239,0.351403271,0.34421015,,0.195593727,0.24315612,0.291618678
REB,0.20,0,0.087170111,-0.092989888,0.143912869,0.112915466,0.02053827,0.176945063,0.156946368,0.158271652,0,0,0,0,0,0,0,0.832980303,0.727207179,0,-0.116771614,0.560755933,0.285927301,-0.197163208,0,0,0,0,0,0.57692497,0.559135372,0,0,0,0,0,0,0,-0.074465466,0,0,0,-0.168158283,0.078354667,,0.103794067,0.062016661,-0.105653059
STL,0.19,0,-0.140382185,0.325973912,-0.329563954,-0.159539255,0.152822317,0.329442592,0.332446007,0.323014585,0.414224607,0,0,0,0.380593255,0,0,-0.371751413,-0.346518301,0,0.198588757,0.018177594,0.170619137,-0.192996302,0,0,0,0,0,-0.062918099,-0.074617711,0,-0.338597054,0,0,0,0.528292095,0,0.468175706,0,0.019111486,0.032211302,0.775829651,0.424622834,,0.280802348,0.257788197,0.022324293
AST RAT,0.17,0.161561122,-0.116056455,0.109596193,-0.116624458,-0.055032401,0.426750963,0.097320808,0.199764638,0.174131908,0.476521229,0,0.92532305,0.800767373,0.386710611,0.336430292,-0.078927069,-0.186428454,-0.259871412,0,0.193394601,-0.027711017,0.147077007,-0.167973123,0.482026313,0,0,0,0,0.006348779,-0.044551875,0,-0.148822444,0.406626344,0.512670568,0.46216429,0.200225281,0,0.402573817,0,-0.108599496,-0.061174494,0.461809215,0.423333496,,0.199937463,0.236004654,0.219885811
AST%,0.14,0.101936135,-0.139186517,0.045635683,-0.107348983,-0.081948245,0.262884662,0.092945305,0.152278926,0.126078013,0.430311929,0,0,0,0.343466867,0.394327657,-0.082564846,-0.17258421,-0.248984228,0,0.092420466,-0.019542451,0.068474862,-0.140464168,0.311121796,0,0,0,0,0.034589595,-0.020052498,0,-0.121877741,0.451042786,0.580482577,0.528375301,0.211931789,0,0.385220648,0,-0.103430297,-0.057238336,0.464836106,0.430685097,,0.216761784,0.213902423,0.059009095
FGA,0.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589704406,-0.101234354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162867909,0,0,0,-0.024719274,0.147176956,,0.208675989,0.173017096,-0.04423236
2PM_PACE,0.09,0,0,0,0,0.934329633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427974272,0.13962194,0.43804794,-0.089042613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047624444,0,0,0,-0.256504365,-0.038399766,,-0.08266778,0.034909482,0.477750406
2pm,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416587911,0.259304985,0.511165498,-0.040248115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024088342,0,0,0,-0.297563165,-0.016582229,,-0.112831148,0.01502474,0.492209984
Wins,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
season,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
