,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,Wins,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
TS%,0.7339675556794975,-0.24365947215689243,0.8867023610408202,-0.5685035877507075,-0.19195180679270443,0.7739661982280123,0.4829675915337294,0.6739744204667124,0.666847746932406,0.5808955560566492,0.5895495743498088,0.4376002393980004,0.3469985275446814,0.5705944061329626,0.142285342574683,-0.17106587946918927,0.12120182946519213,0.016454782880343664,0.9724855804756974,0.8444455911190502,-0.2732221717337626,0.5008349604857593,-0.6977351829576738,0.7471774823629096,0.0,0.0,0.0,0.0,-0.3161833514404773,-0.3554669075940961,0.0,-0.14236302540940804,0.22926578958645571,0.22286661890750126,0.1872026041082123,0.1293414528115498,0.11859144249376677,-0.11690010464537474,0.0,-0.16912294971819627,-0.1578555949365376,0.6977351829576738,0.024172214379972103,-0.07243631365257963,,-0.05766418632665075,0.23235403797879398,0.5470360997482081
UA_PACE,0.0,0.04937703177335082,-0.2973715745578536,0.06465454936969531,-0.0869990776493876,0.15015008161999213,-0.20458321048520303,-0.1482049984151438,-0.08983727933916852,-0.49720621231500195,0.0,0.0,0.0,-0.4318221798722131,0.0,0.0,0.049434988239137785,0.3444912179916142,0.0,-0.13016560227577606,-0.24482835710765938,-0.28768173919528756,-0.09857531034140082,0.0,0.0,0.0,0.0,0.0,-0.1312676778678482,-0.05581838813948264,0.0,-0.05971190190280072,0.0,0.0,0.0,0.0,0.0,0.5115482983024828,0.0,0.0,0.9850291427269413,0.09857531034140082,0.24303561637704674,0.2455858492736918,,0.7454215590208803,0.7101822477784705,0.11083330868338517
UncontestedAssists,0.0,0.022676170530766586,-0.25052973025703257,0.07300193206135486,-0.05459068919529337,0.10216704818358549,-0.15231693988430084,-0.11404963603672638,-0.0805177938839571,-0.4656554795085959,0.0,0.0,0.0,-0.44144067605805576,0.0,0.0,0.1261174558153617,0.30450051704152065,0.0,-0.12858576693275933,-0.1313868605461881,-0.2044002625497604,-0.06773426838562742,0.0,0.0,0.0,0.0,0.0,-0.09728057094869891,-0.0545923734517844,0.0,0.01732606441045662,0.0,0.0,0.0,0.0,0.0,0.5066150769432061,0.0,0.0,0.0,0.06773426838562742,0.308871885204892,0.3315392978608679,,0.7678744495498072,0.7533055616686007,0.1560563672201974
Wins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
pts_off_tov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15212490475443283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15212490475443283,0.0,0.0,,0.2976475120879382,0.39697717772186414,0.26396994945549257
pts_paint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17315094473690792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5446667884389307,0.0,0.0,0.0,-0.17315094473690792,0.7378704418952892,0.0,,0.30691086408094065,0.34708853392027716,0.14698074053104218
season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ufga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1589524547285458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1589524547285458,0.0,0.0,,0.0,0.0,0.0
ufgm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3989292226750681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3989292226750681,0.0,0.0,,0.8622209666748788,0.0,0.0
ufgp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5092398930329771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092398930329771,0.0,0.0,,-0.01723775501193658,0.4897728888957754,0.0
