team,season,ufga,ufgm,pts_off_tov,pts_paint,ufgp,Wins,Losses,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,+/-,GP_x,W_x,L_x,MIN_x,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,OREB%,DREB%_x,REB%,TOV%,EFG%,TS%,PACE,PIE,GP_y,W_y,L_y,MIN_y,DEFåÊRTG,DREB_y,DREB%_y,STL_y,BLK_y,OPPåÊPTS OFFåÊTOV,OPPåÊPTS 2NDåÊCHANCE,OPPåÊPTS FB,OPPåÊPTS PAINT
Raptors,2015,13268,5716,6298,16552,0.43081097377148025,56,26,3006,6669,45.1,2298,4755,0.483280757,708,1914,37.0,1702,2190,77.7,836,2724,3560,1536,1073,636,449,442,1610,1801,369,82,56,26,3956,107.0,102.7,4.3,51.1,1.43,15.0,24.6,77.7,51.6,13.6,50.4,55.2,95.31,52.5,82,56,26,3956,103,2724,77.7,636,449,1163,948,898,3286
Raptors,2016,1280,524,542,1564,0.409375,51,31,3211,6918,46.4,2486,4922,0.505079236,725,1996,36.3,1615,2028,79.6,871,2676,3547,1517,1041,677,400,392,1708,1666,345,82,51,31,3956,109.8,104.9,4.9,47.2,1.46,14.6,25.0,76.3,50.7,13.0,51.7,56.1,97.11,51.6,82,51,31,3956,105,2676,76.3,677,400,1224,1071,945,3418
Rockets,2014,14360,6028,7330,17984,0.41977715877437327,56,26,3032,6832,44.4,2099,4152,0.505539499,933,2680,34.8,1525,2133,71.5,958,2624,3582,1820,1366,776,407,437,1803,1730,282,27,23,4,1296,113.4,102.2,11.2,57.8,1.49,17.1,21.8,81.3,52.0,15.1,56.5,60.4,101.6,54.9,82,56,26,3961,101,2624,72.9,776,407,1504,1149,1253,3616
Rockets,2015,13656,5840,7092,16800,0.4276508494434681,41,41,3094,6847,45.2,2216,4314,0.513676402,878,2533,34.7,1671,2407,69.4,930,2601,3531,1821,1307,821,430,404,1790,1847,16,82,41,41,3966,105.5,105.6,-0.2,58.9,1.39,16.5,25.7,72.8,49.1,15.8,51.6,55.3,100.08,49.0,82,41,41,3966,106,2601,72.8,821,430,1597,1202,1183,3654
Rockets,2016,1432,660,612,1596,0.46089385474860334,55,27,3305,7152,46.2,2124,3846,0.55226209,1181,3306,35.7,1667,2177,76.6,892,2746,3638,2070,1240,670,352,409,1634,1674,473,82,55,27,3956,111.8,106.4,5.4,62.6,1.67,18.1,24.6,75.8,50.2,14.7,54.5,58.3,102.54,51.6,82,55,27,3956,106,2746,75.8,670,352,1432,1135,1170,4018
Spurs,2014,13484,5868,5516,15504,0.4351824384455651,55,27,3208,6854,46.8,2531,5007,0.505492311,677,1847,36.7,1368,1754,78.0,806,2772,3578,2000,1146,657,444,362,1564,1613,508,29,19,10,1392,105.1,101.7,3.3,59.4,1.59,17.5,24.9,79.1,51.9,14.8,50.9,54.5,96.61,53.0,82,55,27,3991,100,2772,77.3,657,444,1235,979,1156,3482
Spurs,2015,14888,6848,7772,21476,0.4599677592692101,67,15,3289,6797,48.4,2719,5279,0.51505967,570,1518,37.5,1342,1672,80.3,770,2831,3601,2010,1071,677,485,317,1433,1597,872,82,67,15,3941,108.4,96.6,11.8,61.1,1.88,18.9,23.0,79.1,52.0,13.7,52.6,56.4,95.72,57.8,82,67,15,3941,97,2831,79.1,677,485,1103,876,996,3286
Spurs,2016,1548,656,568,1476,0.42377260981912146,61,21,3222,6864,46.9,2469,4937,0.500101276,753,1927,39.1,1440,1806,79.7,821,2777,3598,1954,1101,655,484,333,1498,1623,590,82,61,21,3961,108.8,100.9,7.9,60.6,1.77,18.2,24.0,77.6,51.4,13.9,52.4,56.4,96.41,55.1,82,61,21,3961,101,2777,77.6,655,484,1205,1015,1036,3344
Suns,2014,12776,5416,5706,14428,0.42391984971822166,39,43,3178,7038,45.2,2480,4990,0.496993988,698,2048,34.1,1343,1767,76.0,896,2643,3539,1659,1238,700,385,337,1744,1664,-74,30,9,21,1445,102.3,109.3,-7.0,50.8,1.27,14.8,24.1,76.3,49.7,15.1,49.3,53.4,104.13,45.7,82,39,43,3976,103,2643,73.5,700,385,1412,1183,1250,3718
Suns,2015,12836,5400,6018,13976,0.4206918043004051,23,59,3051,7018,43.5,2313,4900,0.47204081600000003,738,2118,34.8,1431,1905,75.1,943,2733,3676,1701,1410,632,313,449,1858,1770,-546,82,23,59,3941,99.4,107.0,-7.6,55.8,1.21,15.5,25.4,77.1,50.6,16.9,48.7,52.6,100.86,45.0,82,23,59,3941,107,2733,77.1,632,313,1653,1034,1416,3590
Suns,2016,1252,504,722,1804,0.402555910543131,24,58,3270,7260,45.0,2655,5406,0.491120977,615,1854,33.2,1676,2159,77.6,976,2712,3688,1604,1265,673,399,435,2030,1822,-462,82,24,58,3966,103.9,109.3,-5.4,49.1,1.27,14.5,26.0,76.4,50.5,14.9,49.3,53.8,102.88,46.2,82,24,58,3966,109,2712,76.4,673,399,1488,1108,1312,3606
Thunder,2014,12264,5316,5238,14380,0.4334637964774951,45,37,3184,7119,44.7,2552,5255,0.48563273100000004,632,1864,33.9,1524,2020,75.4,1052,2844,3896,1681,1205,598,454,377,1829,1675,179,28,14,14,1364,102.1,100.7,1.4,55.5,1.39,15.8,27.1,77.6,51.2,15.1,49.3,52.6,98.36,50.3,82,45,37,3966,103,2844,75.6,598,454,1356,1049,1028,3506
Thunder,2015,15088,6872,8906,24684,0.45546129374337224,55,27,3372,7082,47.6,2694,5137,0.524430602,678,1945,34.9,1616,2067,78.2,1071,2916,3987,1883,1305,603,487,373,1691,1653,597,82,55,27,3966,109.9,103.0,6.9,55.8,1.44,16.8,31.1,76.0,54.7,15.9,52.4,56.5,99.37,54.6,82,55,27,3966,103,2916,76.0,603,487,1446,1143,1085,3706
Thunder,2016,1396,568,608,1660,0.4068767908309456,47,35,3237,7169,45.2,2545,5053,0.5036611910000001,692,2116,32.7,1575,2113,74.5,1002,2821,3823,1721,1230,648,408,450,1715,1697,62,82,47,35,3961,105.0,105.1,-0.2,53.2,1.4,15.6,27.9,79.0,53.4,14.8,50.0,54.0,100.47,49.9,82,47,35,3961,105,2821,79.0,648,408,1387,998,913,3896
Timberwolves,2014,10476,4516,5714,14652,0.43108056510118364,16,66,2986,6820,43.8,2580,5597,0.460961229,406,1223,33.2,1638,2110,77.6,949,2406,3355,1771,1231,668,327,449,1571,1751,-721,29,17,12,1402,109.0,107.6,1.4,57.0,1.65,17.2,25.6,76.6,50.8,14.0,52.0,56.3,98.07,51.7,82,16,66,3961,110,2406,71.6,668,327,1427,1223,1175,3938
Timberwolves,2015,11456,5240,5614,14784,0.4574022346368715,29,53,3095,6668,46.4,2640,5321,0.496147341,455,1347,33.8,1753,2213,79.2,821,2587,3408,1916,1231,656,375,427,1696,1768,-290,82,29,53,3976,104.3,107.1,-2.8,61.9,1.56,17.8,24.3,74.7,49.8,15.3,49.8,54.9,97.59,49.7,82,29,53,3976,107,2587,74.7,656,375,1461,1079,1097,3784
Timberwolves,2016,1060,464,594,1488,0.4377358490566038,31,51,3235,6922,46.7,2634,5199,0.506635892,601,1723,34.9,1586,1986,79.9,938,2540,3478,1940,1150,654,370,413,1646,1681,-91,82,31,51,3961,108.1,109.1,-1.0,60.0,1.69,17.8,27.2,75.9,51.2,14.4,51.1,55.5,97.11,50.1,82,31,51,3961,109,2540,75.9,654,370,1413,1100,1140,3792
Trail Blazers,2014,14756,6360,5018,14056,0.4310111141230686,51,31,3175,7049,45.0,2368,4818,0.491490245,807,2231,36.2,1272,1589,80.1,879,2881,3760,1799,1117,525,372,297,1494,1534,347,28,15,13,1349,103.2,102.0,1.2,47.6,1.21,14.0,23.3,80.8,52.4,14.8,49.7,54.2,98.99,50.9,82,51,31,3971,101,2881,76.2,525,372,1241,1129,1094,3534
Trail Blazers,2015,14956,6776,6020,15916,0.45306231612730674,44,38,3167,7040,45.0,2303,4704,0.48958333299999995,864,2336,37.0,1424,1889,75.4,948,2782,3730,1748,1200,562,380,424,1782,1597,68,82,44,38,3961,106.1,105.6,0.6,55.2,1.46,16.2,25.9,76.2,51.0,14.8,51.1,54.8,98.31,49.3,82,44,38,3961,106,2782,76.2,562,380,1338,1017,907,3354
Trail Blazers,2016,1568,708,616,1740,0.45153061224489793,41,41,3243,7059,45.9,2391,4787,0.49947775200000005,852,2272,37.5,1513,1940,78.0,830,2750,3580,1733,1126,574,408,431,1736,1624,-43,82,41,41,3986,107.8,107.8,0.0,53.4,1.54,16.1,23.0,76.8,49.8,13.7,52.0,55.9,99.08,49.3,82,41,41,3986,108,2750,76.8,574,408,1286,1030,1038,3520
Warriors,2014,16408,7664,7050,17724,0.46708922476840564,67,15,3410,7137,47.8,2527,4920,0.513617886,883,2217,39.8,1313,1709,76.8,853,2814,3667,2248,1185,762,496,293,1628,1541,828,29,23,6,1397,114.0,101.3,12.7,69.8,1.9,21.8,21.1,76.8,51.8,15.9,58.8,61.9,103.01,58.1,82,67,15,3946,98,2814,74.5,762,496,1250,1164,1142,3410
Warriors,2015,16728,8280,6948,18348,0.4949784791965567,73,9,3489,7159,48.7,2412,4567,0.528136632,1077,2592,41.6,1366,1790,76.3,816,2972,3788,2373,1245,689,498,336,1701,1627,882,82,73,9,3976,112.5,100.9,11.6,68.0,1.91,20.5,23.5,76.0,51.3,14.9,56.3,59.3,101.65,56.7,82,73,9,3976,101,2972,76.0,689,498,1365,1130,1187,3698
Warriors,2016,1436,668,640,1684,0.46518105849582175,67,15,3532,7140,49.5,2550,4578,0.5570117960000001,982,2562,38.3,1457,1850,78.8,770,2873,3643,2491,1211,785,555,313,1585,1588,954,82,67,15,3956,113.2,101.1,12.1,70.5,2.06,21.4,22.8,74.9,50.5,14.4,56.3,59.7,102.24,57.9,82,67,15,3956,101,2873,74.9,785,555,1371,1146,1182,3726
Wizards,2014,13900,6244,5762,14732,0.44920863309352516,46,36,3139,6790,46.2,2642,5409,0.488445184,497,1381,36.0,1305,1758,74.2,862,2801,3663,1969,1233,601,378,350,1707,1610,59,29,16,13,1402,105.3,103.2,2.1,56.6,1.57,16.7,22.3,76.5,49.4,14.0,51.1,55.0,99.2,51.3,82,46,36,3991,100,2801,77.3,601,378,1333,1034,963,3138
Wizards,2015,14360,6312,5428,13688,0.4395543175487465,41,41,3238,7033,46.0,2529,5050,0.500792079,709,1983,35.8,1349,1849,73.0,743,2688,3431,2005,1186,708,323,356,1708,1651,-41,82,41,41,3951,102.9,103.6,-0.7,61.9,1.69,18.2,20.6,77.7,48.6,14.3,51.1,54.4,100.63,49.7,82,41,41,3951,104,2688,77.7,708,323,1288,958,1045,3376
Wizards,2016,1384,648,608,1512,0.4682080924855491,49,33,3388,7137,47.5,2632,5107,0.515371059,756,2030,37.2,1421,1812,78.4,843,2671,3514,1956,1162,693,336,377,1745,1621,148,82,49,33,3971,108.5,106.9,1.6,57.7,1.68,17.7,24.1,75.5,49.9,14.1,52.8,56.4,99.68,51.1,82,49,33,3971,107,2671,75.5,693,336,1348,1134,989,3596
