team,season,Wins,2pa
All,2014,41,5014.43
All,2015,40.42,4979.70
All,2016,41,4789.76
Lakers,2014,21,5474
Lakers,2015,17,4940
Lakers,2016,26,5054
Nets,2014,38,5171
Nets,2015,21,5412
Nets,2016,20,4396
Timberwolves,2014,16,5997
Timberwolves,2015,29,5321
Timberwolves,2016,31,5199
Warriors,2014,67,4920
Warriors,2015,73,4567
Warriors,2016,67,4578
