Team,season,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Pacers,2015,3142,6985,45,2479,5096,0.486459969,663,1889,35.1,1430,1872,76.4,847,2779,3626,1741,1219,742,391,366,1641,1676,140
Pistons,2015,3111,7087,43.9,2371,4939,0.480056692,740,2148,34.5,1399,2095,66.8,1021,2777,3798,1594,1110,573,304,366,1557,1773,50
Trail Blazers,2015,3167,7040,45,2303,4704,0.489583333,864,2336,37,1424,1889,75.4,948,2782,3730,1748,1200,562,380,424,1782,1597,68
Bulls,2015,3165,7170,44.1,2514,5417,0.464094517,651,1753,37.1,1354,1720,78.7,907,2889,3796,1870,1141,495,470,465,1545,1535,-121
Mavericks,2015,3064,6900,44.4,2258,4558,0.495392716,806,2342,34.4,1454,1831,79.4,751,2781,3532,1813,1047,560,306,363,1595,1757,-25
Grizzlies,2015,3019,6859,44,2515,5338,0.471150244,504,1521,33.1,1584,2024,78.3,916,2497,3413,1697,1090,724,350,469,1783,1732,-184
Rockets,2015,3094,6847,45.2,2216,4314,0.513676402,878,2533,34.7,1671,2407,69.4,930,2601,3531,1821,1307,821,430,404,1790,1847,16
Wizards,2015,3238,7033,46,2529,5050,0.500792079,709,1983,35.8,1349,1849,73,743,2688,3431,2005,1186,708,323,356,1708,1651,-41
Jazz,2015,2957,6593,44.9,2263,4637,0.488031055,694,1956,35.5,1402,1885,74.4,880,2665,3545,1554,1224,631,425,385,1655,1629,147
Magic,2015,3242,7120,45.5,2606,5302,0.491512637,636,1818,35,1249,1649,75.7,843,2709,3552,1933,1155,673,417,448,1701,1497,-133
Nuggets,2015,3093,7003,44.2,2437,5060,0.481620553,656,1943,33.8,1513,1974,76.6,941,2718,3659,1858,1202,609,395,517,1723,1712,-254
Bucks,2015,3145,6740,46.7,2705,5463,0.495149185,440,1277,34.5,1391,1859,74.8,858,2559,3417,1895,1247,672,475,462,1695,1600,-343
Kings,2015,3283,7083,46.4,2623,5244,0.500190694,660,1839,35.9,1514,2089,72.5,868,2760,3628,2009,1326,733,368,437,1676,1800,-203
Knicks,2015,3022,6886,43.9,2412,5124,0.470725995,610,1762,34.6,1411,1753,80.5,850,2788,3638,1682,1099,467,466,343,1616,1520,-224
Pelicans,2015,3153,7040,44.8,2451,5089,0.481627039,702,1951,36,1415,1823,77.6,782,2712,3494,1818,1102,633,342,423,1713,1630,-311
Timberwolves,2015,3095,6668,46.4,2640,5321,0.496147341,455,1347,33.8,1753,2213,79.2,821,2587,3408,1916,1231,656,375,427,1696,1768,-290
Suns,2015,3051,7018,43.5,2313,4900,0.472040816,738,2118,34.8,1431,1905,75.1,943,2733,3676,1701,1410,632,313,449,1858,1770,-546
