team,season,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Blazers,2016,82,41,41,3986,108,2750,76.8,574,408,1286,1030,1038,3520
Heat,2016,82,41,41,3956,104,2705,76.4,588,469,1142,1053,844,3646
Nuggets,2016,82,40,42,3951,111,2837,78.7,568,323,1472,1007,1174,3888
Pistons,2016,82,37,45,3961,105,2838,81.2,574,310,1045,832,877,3378
Hornets,2016,82,36,46,3966,106,2853,79.6,571,390,1071,937,1055,3320
Pelicans,2016,82,34,48,3981,105,2879,76.8,638,453,1276,1013,1114,3616
Mavericks,2016,82,33,49,3956,106,2516,77.6,614,307,1148,951,1118,3242
Kings,2016,82,32,50,3976,109,2652,76.3,627,324,1426,1024,1209,3340
Timberwolves,2016,82,31,51,3961,109,2540,75.9,654,370,1413,1100,1140,3792
Knicks,2016,82,31,51,3971,109,2723,74.1,581,455,1354,1204,1147,3780
Magic,2016,82,29,53,3961,108,2734,77.4,580,396,1305,1097,1068,3820
76ers,2016,82,28,54,3966,106,2706,75.3,692,420,1517,1106,1256,3698
Lakers,2016,82,26,56,3941,111,2636,75.8,674,320,1474,1087,1328,3890
Suns,2016,82,24,58,3966,109,2712,76.4,673,399,1488,1108,1312,3606
Nets,2016,82,20,62,3951,108,2879,76.1,593,387,1570,1176,1151,3692
