,cfga,cfgm,dfga,dfgm,dist,drbc,ftast,game_id,opponent_id,orbc,pass,period,sast,season,spd,tchs,team_id,ufga,ufgm,team
0,39,17,33,13,9.99,56,3,21400008,1610612761,23,127,f,9,2014,0,127,1610612737,41,23,Hawks
1,28,12,26,17,9.99,58,4,21400032,1610612754,12,127,f,5,2014,0,127,1610612737,41,23,Hawks
2,51,23,35,19,9.99,50,1,21400064,1610612759,32,127,f,3,2014,0,127,1610612737,41,15,Hawks
3,45,21,34,23,9.99,53,1,21400071,1610612766,14,127,f,6,2014,0,127,1610612737,48,22,Hawks
4,42,19,35,23,9.99,52,3,21400084,1610612752,21,127,f,4,2014,0,127,1610612737,39,14,Hawks
5,31,12,23,13,9.99,51,3,21400100,1610612752,13,127,f,6,2014,0,127,1610612737,40,15,Hawks
6,44,19,34,25,9.99,58,1,21400110,1610612762,21,127,f,5,2014,0,127,1610612737,32,20,Hawks
7,35,21,21,11,9.99,52,0,21400124,1610612748,9,127,f,13,2014,0,127,1610612737,40,21,Hawks
8,48,26,44,24,9.99,46,0,21400133,1610612739,20,127,f,7,2014,0,127,1610612737,42,14,Hawks
9,41,22,29,18,9.99,41,0,21400155,1610612747,19,127,f,6,2014,0,127,1610612737,44,19,Hawks
10,35,21,50,20,9.99,71,4,21400174,1610612765,17,127,f,4,2014,0,127,1610612737,45,17,Hawks
11,49,26,30,19,9.99,61,3,21400205,1610612764,24,127,f,5,2014,0,127,1610612737,36,10,Hawks
12,43,21,26,14,9.99,40,1,21400215,1610612761,18,127,f,7,2014,0,127,1610612737,39,21,Hawks
13,40,24,70,37,9.99,69,1,21400225,1610612740,21,127,f,4,2014,0,127,1610612737,36,14,Hawks
14,32,18,25,14,9.99,59,5,21400237,1610612766,6,127,f,8,2014,0,127,1610612737,43,22,Hawks
15,47,27,29,14,9.99,44,0,21400254,1610612738,17,127,f,9,2014,0,127,1610612737,35,16,Hawks
16,41,21,24,20,9.99,36,3,21400267,1610612748,12,127,f,7,2014,0,127,1610612737,33,19,Hawks
